id,zip,location,city,population,people_per_sqmi,rank
239,14204,"42.883587, -78.861199","Buffalo,ÊNew York",10040,5948.37,"#1,331"
240,10709,"40.952626, -73.809927","Eastchester,ÊNew York",9093,5939.63,"#1,334"
241,11554,"40.720115, -73.558861","East Meadow,ÊNew York",37458,5935.83,"#1,337"
242,13210,"43.031420, -76.125816","Syracuse,ÊNew York",27352,5930.1,"#1,338"
243,11801,"40.762304, -73.524452","Hicksville,ÊNew York",39449,5886.96,"#1,353"
244,14207,"42.952131, -78.898018","Buffalo,ÊNew York",22986,5869.13,"#1,361"
245,11572,"40.630521, -73.637745","Oceanside,ÊNew York",31241,5811.68,"#1,381"
246,11552,"40.692979, -73.652416","West Hempstead,ÊNew York",23309,5764.81,"#1,400"
247,11096,"40.621346, -73.756990","Inwood,ÊNew York",7975,5652.9,"#1,436"
248,14301,"43.097462, -79.031824","Niagara Falls,ÊNew York",14257,5638.63,"#1,444"
249,13205,"43.004501, -76.141720","Syracuse,ÊNew York",20592,5613.24,"#1,459"
250,12209,"42.638363, -73.787960","Albany,ÊNew York",9772,5551.27,"#1,486"
251,13208,"43.078289, -76.145325","Syracuse,ÊNew York",21440,5492.83,"#1,504"
252,10303,"40.629885, -74.174130","Staten Island,ÊNew York",23530,5426,"#1,530"
253,11701,"40.686412, -73.412398","Amityville,ÊNew York",26379,5418.6,"#1,533"
254,11783,"40.673140, -73.491849","Seaford,ÊNew York",22162,5410.64,"#1,537"
255,14202,"42.881855, -78.877198","Buffalo,ÊNew York",4136,5347.45,"#1,561"
256,13202,"43.043592, -76.150628","Syracuse,ÊNew York",5434,5308.76,"#1,581"
257,10803,"40.899532, -73.805883","Pelham,ÊNew York",12124,5235.08,"#1,611"
258,11703,"40.732670, -73.325925","North Babylon,ÊNew York",16336,5198.82,"#1,631"
259,14210,"42.864041, -78.832957","Buffalo,ÊNew York",16681,5160.82,"#1,648"
260,10566,"41.287672, -73.917786","Peekskill,ÊNew York",22441,5144.16,"#1,658"
261,11704,"40.717504, -73.358203","West Babylon,ÊNew York",40114,5132.92,"#1,662"
262,10710,"40.967157, -73.846339","Yonkers,ÊNew York",25202,5080.7,"#1,677"
263,11514,"40.749920, -73.614017","Carle Place,ÊNew York",5214,5051.58,"#1,690"
264,14616,"43.234256, -77.653267","Rochester,ÊNew York",27119,5028.69,"#1,703"
265,10538,"40.937865, -73.755930","Larchmont,ÊNew York",16780,4903.75,"#1,763"
266,11422,"40.632030, -73.766051","Rosedale,ÊNew York",30449,4873.21,"#1,783"
267,14604,"43.157078, -77.604677","Rochester,ÊNew York",1683,4859.79,"#1,789"
268,11717,"40.783955, -73.252256","Brentwood,ÊNew York",51485,4811.43,"#1,816"
269,11795,"40.708202, -73.303076","West Islip,ÊNew York",27127,4796.4,"#1,825"
270,10927,"41.191052, -73.967562","Haverstraw,ÊNew York",10117,4766.39,"#1,835"
271,11709,"40.908648, -73.560926","Bayville,ÊNew York",7135,4623.98,"#1,923"
272,11023,"40.799784, -73.733445","Great Neck,ÊNew York",8501,4602.49,"#1,938"
273,11803,"40.781700, -73.473035","Plainview,ÊNew York",27767,4592.07,"#1,945"
274,13207,"43.012868, -76.163401","Syracuse,ÊNew York",14890,4586.69,"#1,950"
275,11579,"40.844004, -73.644012","Sea Cliff,ÊNew York",5141,4586.12,"#1,951"
276,12202,"42.634583, -73.763986","Albany,ÊNew York",10021,4555.8,"#1,980"
277,11784,"40.869063, -73.040402","Selden,ÊNew York",26411,4538.64,"#1,997"
278,12305,"42.815918, -73.944331","Schenectady,ÊNew York",5922,4514.94,"#2,008"
279,12208,"42.652519, -73.807897","Albany,ÊNew York",21307,4499.43,"#2,016"
280,10543,"40.953743, -73.736180","Mamaroneck,ÊNew York",19427,4498.69,"#2,017"
281,11729,"40.762698, -73.321445","Deer Park,ÊNew York",28280,4452.72,"#2,043"
282,11693,"40.611082, -73.822757","Far Rockaway,ÊNew York",11157,4421.44,"#2,061"
283,10522,"41.010310, -73.863746","Dobbs Ferry,ÊNew York",10622,4393.12,"#2,077"
284,14206,"42.880078, -78.810472","Buffalo,ÊNew York",22988,4384.32,"#2,084"
285,10993,"41.209896, -73.973842","West Haverstraw,ÊNew York",4263,4336.89,"#2,111"
286,13204,"43.051756, -76.178000","Syracuse,ÊNew York",20826,4335.77,"#2,114"
287,10968,"41.036334, -73.921633","Piermont,ÊNew York",2424,4327.38,"#2,119"
288,11758,"40.662298, -73.458413","Massapequa,ÊNew York",54933,4269.51,"#2,151"
289,11566,"40.651637, -73.551927","Merrick,ÊNew York",35606,4208.12,"#2,197"
290,11789,"40.957123, -72.971270","Sound Beach,ÊNew York",7660,4169.97,"#2,221"
291,10977,"41.118920, -74.048158","Spring Valley,ÊNew York",49211,4165.5,"#2,224"
292,11722,"40.785083, -73.192931","Central Islip,ÊNew York",34491,4144.04,"#2,236"
293,10530,"41.023712, -73.812810","Hartsdale,ÊNew York",12453,4100.18,"#2,267"
294,14226,"42.971014, -78.796455","Buffalo,ÊNew York",29382,4086.59,"#2,278"
295,11577,"40.784638, -73.640578","Roslyn Heights,ÊNew York",12176,4085.05,"#2,279"
296,11558,"40.611322, -73.662331","Island Park,ÊNew York",8553,4058.93,"#2,300"
297,13501,"43.081159, -75.225020","Utica,ÊNew York",36076,4053.65,"#2,304"
298,11714,"40.743967, -73.479983","Bethpage,ÊNew York",23012,3919.34,"#2,382"
299,13206,"43.074194, -76.105762","Syracuse,ÊNew York",16562,3872.2,"#2,414"
300,14614,"43.157055, -77.615197","Rochester,ÊNew York",926,3864.27,"#2,418"
301,10309,"40.530847, -74.221178","Staten Island,ÊNew York",27207,3862.03,"#2,423"
